City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
132,Kloulklubed,PW,81.1,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
134,Maradi,NE,80.83,broken clouds,13.5,7.1017,NRC office
139,Salinópolis,BR,79.56,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
142,Bethel,US,79.65,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
144,Jodhpur,IN,87.1,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
145,Sidrolândia,BR,77.79,clear sky,-20.9319,-54.9614,Agropet São Francisco
150,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
151,Rincon,US,84.65,broken clouds,32.296,-81.2354,Days Inn Rincon
155,Barra do Garças,BR,75.63,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
160,Seybaplaya,MX,78.26,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
164,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
167,Sioux Lookout,CA,75.58,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
169,Portobelo,PA,76.86,overcast clouds,9.55,-79.65,Scuba Portobelo
174,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
179,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
181,Barra de Tecoanapa,MX,83.23,few clouds,16.5167,-98.75,Hotel Manglares
182,Hong Kong,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
186,Mapastepec,MX,81.86,overcast clouds,15.4333,-92.9,Hotel San Carlos
191,Moose Factory,CA,77.0,clear sky,51.2585,-80.6094,Moosonee Lilypad
192,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
195,Grafton,US,78.96,overcast clouds,42.207,-71.6856,The Grafton Inn
197,Jacareacanga,BR,85.17,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
200,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
201,Rupert,US,83.64,clear sky,42.6191,-113.6772,Uptown Motel
206,San Andrés,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
208,Portland,US,80.87,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
211,Dwārka,IN,80.83,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
214,Paphos,CY,80.51,clear sky,34.7667,32.4167,Elysium Hotel
224,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
225,Brasiléia,BR,86.45,smoke,-11.0161,-68.7481,Pousada Tobias
228,Tabou,CI,75.65,light rain,4.423,-7.3528,hotêl doufoulougou
229,Katubao,PH,80.44,overcast clouds,5.8892,124.8294,IML Ecopark
230,Sur,OM,86.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
232,Jaicós,BR,77.14,clear sky,-7.3592,-41.1378,Hotel Jaicós
236,Batticaloa,LK,78.67,overcast clouds,7.7102,81.6924,Grand Star Guest House
237,Fort Saint James,CA,78.17,few clouds,54.4333,-124.25,The View Hotel
243,Faanui,PF,78.96,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
244,Hithadhoo,MV,79.81,overcast clouds,-0.6,73.0833,Scoop Guest House
245,Kalawit,PH,78.31,overcast clouds,8.0667,122.5167,Ompoy Pension House
251,Beneditinos,BR,81.73,scattered clouds,-5.45,-42.3667,Pousada e Churrascaria Cabo Miguel
252,Carroll,US,86.92,clear sky,39.5501,-77.0164,Best Western Westminster Hotel
253,Port Blair,IN,81.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
254,Hasaki,JP,86.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
260,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
264,Marabu,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
265,Alwar,IN,83.03,broken clouds,27.5667,76.6,Hotel Aashyana Alwar
267,Yatou,CN,76.01,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
268,Coahuayana Viejo,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
270,Seydi,TM,81.09,clear sky,39.4816,62.9137,Seydi oteli
276,Hanchuan,CN,84.31,overcast clouds,30.65,113.7667,金鲤湖宾馆
278,Harper,LR,75.94,light rain,4.375,-7.7169,Screensaver
279,Lompoc,US,82.22,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
281,Cayhagan,PH,80.01,moderate rain,9.6697,122.4256,Melrose Beach Resort
283,Korla,CN,76.28,overcast clouds,41.7597,86.1469,Gulisitan Hotel
284,St. George's,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
285,Matara,LK,76.6,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
288,Turaif,SA,75.45,clear sky,31.6725,38.6637,Turaif
289,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
293,Pathein,MM,78.87,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
297,São Filipe,CV,79.02,scattered clouds,14.8961,-24.4956,Hotel Xaguate
298,Amahai,ID,77.9,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
303,‘Āhuimanu,US,84.78,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
307,Resistencia,AR,80.06,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
310,Qui Nhon,VN,81.97,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
311,Machilipatnam,IN,84.42,broken clouds,16.1667,81.1333,R&B Bungalow
316,Porto-Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
319,Hamilton,US,88.25,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
320,Shingū,JP,79.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
321,Curaçá,BR,77.41,clear sky,-8.9903,-39.9094,Hotel Recanto Campestre
327,Kavieng,PG,83.14,light rain,-2.5744,150.7967,Nusa Island Retreat
329,Kudahuvadhoo,MV,82.74,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
336,Acaraú,BR,79.39,clear sky,-2.8856,-40.12,castelo pizzaria
338,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
340,Verāval,IN,81.18,overcast clouds,20.9,70.3667,Lords Inn Somnath
345,Singaraja,ID,77.74,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
346,Saint Anthony,US,78.82,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
347,Parīchhatgarh,IN,80.89,overcast clouds,28.9833,77.9333,Gawara
354,Dingle,PH,77.63,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
359,Lālganj,IN,75.15,overcast clouds,25.8667,85.1833,Munna Maruti repering center
360,Tonantins,BR,76.93,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
368,Soure,BR,80.87,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
369,Methóni,GR,80.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
370,Faya,SA,77.52,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
373,Palmer,US,79.39,broken clouds,42.1584,-72.3287,Wedgewood Motel
374,Charleston,US,84.22,scattered clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
376,Neiafu,TO,77.68,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
378,Pāsighāt,IN,77.9,moderate rain,28.0667,95.3333,Siang Guest House
379,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
380,Vanimo,PG,76.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
383,Buala,SB,82.74,light rain,-8.145,159.5921,Maringe Lagoon Lodge
385,Tucuruí,BR,84.22,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
386,Meulaboh,ID,76.19,overcast clouds,4.1363,96.1285,Kost Pria
